site_id,latitude,longitude,weir_length,name,city,county,state,linkno,reach_id,num_fatalities,Qmin,Qmax
1,37.9356167,-122.0475322,16.4,WCFCCS Drop Structure 2 at Bancroft Rd.,Concord,Contra Costa,CA,710666950,2789571,2,0.120351085,213.6537452
3,39.208585,-121.444039,173.91,Daguerre Point Dam,Marysville,Yuba,CA,710795843,948020915,2,220.4134815,2682.21119
4,46.3788294,-119.416979,158.89,Wanawish Dam / Horn Rapids Dam,West Richland,Benton,WA,720227605,23099462,2,29.677916,1459.195801
5,45.211782,-117.872503,14.36,Swackhammer Dam Fish Ladder,Union,Union,OR,720199958,23429068,1,0.669999985,54.43164761
6,44.018299,-111.5835535,107.76,Chester Dam on Henry's Fork,Saint Anthony,Fremont,ID,720235790,23141659,1,22.14416617,595.7705687
7,33.434585,-111.91039,264.88,Salt River near S McClintock Dr,Tempe,Maricopa,AZ,710482666,20480320,2,14.94999967,18.64523763
9,39.12783,-108.325,77.7,Price Stubs Diversion Dam,Palisade,Mesa,CO,710904968,3179652,1,1291.225804,1291.225804
11,39.7429308,-105.6813199,16.38,Clear Creek Drop Structures in Adams County,Idaho Springs,Clear Creek,CO,760624835,2885542,1,0.881980888,38.43041581
13,44.69085,-103.831,13.96,Near Belle Fourche,Belle Fourche,Butte,SD,760672712,5453172,1,8.568078949,445.93624
14,29.96893,-98.8864,14.55,Dam near the Haven River Inn,Comfort,Kendall,TX,770513014,3589508,1,38.17829137,775.4066493
18,32.7203,-97.3768,49.45,Trinity Falls Dam near Trinity River park,Fort Worth,Tarrant,TX,770479639,1268904,3,19.21130817,440.0137402
19,36.12086,-95.9883,310.54,Riverside Drive Dam south of W 23rd Street,Tulsa,Tulsa,OK,760645077,368123,2,64.38041523,1329.611763
20,39.07278,-95.7158,209.98,Dam on Kansas River near Topeka Water Treatment Plant,Topeka,Shawnee,KS,760746356,3646792,2,3552.662837,3552.662837
21,39.0465,-94.7862,357.19,Kansas River below Nelson Island,Kansas City,Wyandotte,KS,760679798,3727857,1,4418.719901,4418.719901
22,43.76487,-96.7382,48.05,Dam located by Baltic River Park,Baltic,Minnehaha,SD,760592909,7223946,1,10.12749977,38.43886619
23,44.05273,-96.5919,53.76,Flandreau Dam near 1st Ave and N Crescent St,Flandreau,Moody,SD,760539639,7219276,1,9.979999777,170.1430873
24,36.89653,-94.368,45.74,Shoal Creek Dam near Lime Kiln Dr,Neosho,Newton,MO,760580122,7592437,3,0.309999993,9.995380265
